Month,Average Repositories
1,20210.416666666668
2,19235.833333333332
3,22297.0
4,21086.666666666668
5,21087.5
6,19760.583333333332
7,20382.25
8,20303.25
9,19697.25
10,20325.833333333332
11,19348.583333333332
12,19009.416666666668
