primary_language,overall_popularity
DM,33780.42944785276
LLVM,27803.312138728324
Wikitext,17956.0
AsciiDoc,16298.5
JSON,11136.0
C,9779.498685780412
Wren,9160.0
Markdown,8097.537777777778
Witcher Script,8017.846153846154
X10,7142.333333333333
